id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm266666,Gerald's Game,MOVIE,"When her husband's sex game goes wrong, Jessie (who is handcuffed to a bed in a remote lake house) faces warped visions, dark secrets and a dire choice.",2017,,104,"['horror', 'thriller', 'drama']",['US'],,tt3748172,6.5,114405.0,25.636,6.389
ts55781,Black Spot,SHOW,"In the small bordertown of Villefranche, lost in the heart of a large forest, crime rate is six times higher than elsewhere in the area. Each new crime Major Laurène Weiss solves with the help of her unusual team makes her sink deeper and deeper into secrets of the area.",2017,TV-MA,55,"['drama', 'horror', 'thriller', 'crime', 'european']","['BE', 'FR']",2.0,tt6519410,7.4,12166.0,20.391,6.8
tm428073,When Angels Sleep,MOVIE,"Germán, an honest family man, sees how his whole world wobbles the night when, driving home, accidentally runs over two teenage girls. From that moment, Germán will have to do everything in his power to prevent his life from being destroyed forever.",2018,,91,"['thriller', 'action', 'crime', 'drama', 'horror', 'fantasy', 'european']",['ES'],,tt3732280,5.5,3838.0,8.789,5.6
tm350,The Bad Batch,MOVIE,Arlen is sent to a fenced-off wasteland where undesirables are exiled to when she is kidnapped by a group of cannibals. She escapes and ends up on a journey to reunite a missing girl with her father.,2017,R,119,"['scifi', 'horror', 'romance', 'drama', 'action']",['US'],,tt4334266,5.2,32956.0,19.048,5.246
tm239286,The Cloverfield Paradox,MOVIE,"Orbiting above a planet on the brink of war, scientists test a device to solve an energy crisis and end up face-to-face with a dark alternate reality.",2018,PG-13,102,"['action', 'thriller', 'scifi', 'horror', 'drama']",['US'],,tt2548396,5.5,107743.0,17.238,5.6
tm420745,How It Ends,MOVIE,A desperate father tries to return home to his pregnant wife after a mysterious apocalyptic event turns everything to chaos.,2018,,113,"['thriller', 'scifi', 'action', 'drama', 'horror']","['CA', 'US']",,tt5246700,5.0,54786.0,21.515,5.276
tm430459,La Leyenda del Diamante,MOVIE,"When a gun-toting rebel tries to rescue her kidnapped sister, she finds herself up against a widely feared desperado and a cursed guardian of treasure.",2018,,87,"['fantasy', 'action', 'horror', 'western', 'family', 'scifi']",['MX'],,tt6487242,3.3,54.0,6.48,5.2
ts79856,SWORDGAI The Animation,SHOW,"A young man becomes host to a legendary infernal sword and, with the fate of humanity now in his arm, wields its demonic power against his enemies.",2018,TV-MA,23,"['action', 'animation', 'scifi', 'fantasy', 'horror']",['JP'],2.0,tt7415066,5.8,992.0,25.456,6.8
tm271951,Apostle,MOVIE,"In 1905, a man travels to a remote island in search of his missing sister who has been kidnapped by a mysterious religious cult.",2018,R,130,"['horror', 'thriller', 'drama', 'fantasy']","['US', 'GB']",,tt6217306,6.3,54831.0,14.077,6.109
tm313683,Veronica,MOVIE,"Madrid, June 1991. After celebrating a session of Ouija with her friends, Verónica is besieged by dangerous supernatural presences that threaten to harm her entire family.",2017,R,105,['horror'],['ES'],,tt5862312,6.2,43197.0,25.791,6.195
tm369433,Awe!,MOVIE,"‘Awe’ charts the journey of a motley of characters that have nothing to do with each other but are yet connected by a single, fragile string. Who are these people and what about their lives connect them to each other is what the film is all about.",2018,,115,"['drama', 'thriller', 'scifi', 'fantasy', 'horror']",['IN'],,tt7797658,7.6,5402.0,3.423,7.0
tm260272,Little Evil,MOVIE,"Gary, who has just married Samantha, the woman of his dreams, discovers that her six-year-old son may be the Antichrist.",2017,,94,"['horror', 'comedy', 'fantasy']",['US'],,tt2937366,5.7,22130.0,13.21,5.623
tm217228,Death Note,MOVIE,"A young man comes to possess a supernatural notebook, the Death Note, that grants him the power to kill any person simply by writing down their name on the pages. He then decides to use the notebook to kill criminals and change the world, but an enigmatic detective attempts to track him down and end his reign of terror.",2017,R,101,"['thriller', 'fantasy', 'horror', 'action', 'crime', 'drama']",['US'],,tt1241317,4.5,86629.0,15.182,4.2
tm317542,1922,MOVIE,"A simple yet proud rancher conspires to murder his wife for financial gain, convincing his teenage son to participate.",2017,,102,"['drama', 'crime', 'documentation', 'thriller', 'horror']",['US'],,tt6214928,6.2,66072.0,17.503,5.936
tm307283,Cargo,MOVIE,"After being infected in the wake of a violent pandemic and with only 48 hours to live, a father struggles to find a new home for his baby daughter.",2018,,105,"['drama', 'thriller', 'horror', 'scifi']",['AU'],,tt3860916,6.3,45094.0,18.267,6.399
tm357479,Day of the Dead: Bloodline,MOVIE,"In a world overrun by zombies, military personnel and survivalists live in an underground bunker while they seek a cure.",2017,R,90,"['action', 'horror', 'drama', 'scifi', 'thriller', 'european']","['US', 'BG']",,tt3053228,3.4,11750.0,22.935,4.637
tm430660,Munafik 2,MOVIE,"Ustaz Adam has to help a friend whose village is corrupted by a group of misguided religionists lead by a sinister sorcerer. To make matter worse, Adam himself is also being mysteriously haunted by evil apparitions that keeps disturbing him from time to time.",2018,,104,"['thriller', 'horror']",['MY'],,tt7059506,5.6,1758.0,4.152,5.7
tm211554,Beyond Skyline,MOVIE,"Detective Mark Corley storms his way onto an alien spaceship to rescue his estranged son. When the ship crashes in Southeast Asia, he forges an alliance with a band of survivors to take back the planet once and for all.",2017,R,105,"['action', 'scifi', 'horror', 'thriller']","['CA', 'CN', 'SG', 'US', 'GB', 'ID']",,tt1724970,5.3,22444.0,7.407,5.2
tm430666,Hantu Kak Limah,MOVIE,"Kak Limah is discovered dead by villager. Since then, her ghost has been spotted around Kampung Pisang, making the villagers feel restless. Enter Encik Solihin, who tries to help by shooing her ghost away from the village. Husin, Encik Solihin and other villagers trying to overcome this problem. However, the tragedy behind Kak Limah's death has yet to be unveiled.",2018,,111,"['comedy', 'horror', 'fantasy']",['MY'],,tt8757960,5.7,700.0,2.786,6.9
tm227940,Berlin Syndrome,MOVIE,A passionate holiday romance leads to an obsessive relationship when an Australian photojournalist wakes one morning in a Berlin apartment and is unable to leave.,2017,R,116,"['thriller', 'drama', 'horror']",['AU'],,tt3335606,6.3,26162.0,10.809,6.007
ts82268,GHOUL,SHOW,A newly minted military interrogator arrives at a covert detention center to discover that some of the terrorists held there are not of this world.,2018,TV-MA,46,"['scifi', 'drama', 'horror', 'fantasy']",['IN'],2.0,tt5909930,8.4,6.0,15.117,6.865
tm327951,The Doll 2,MOVIE,A couple who devastated after losing their only child resort into obsessive act that can dangerously threatening their own life.,2017,,117,"['horror', 'thriller']",['ID'],,tt6409782,5.2,614.0,4.816,5.568
tm351101,Errementari: The Blacksmith and the Devil,MOVIE,"Basque Country, Spain, 1843. A police constable arrives at a small village in Álava to investigate a mysterious blacksmith who lives alone deep in the woods.",2018,,98,"['fantasy', 'horror', 'drama', 'thriller', 'european']","['FR', 'ES']",,tt5592878,6.4,12495.0,12.649,6.4
tm299677,Hold the Dark,MOVIE,"In the grim Alaskan winter, a naturalist hunts for wolves blamed for killing a local boy, but he soon finds himself swept into a chilling mystery.",2018,,126,"['thriller', 'crime', 'drama', 'horror', 'action']",['US'],,tt5057140,5.6,38449.0,14.839,5.3
tm349278,Ravenous,MOVIE,"In an isolated rural community of Quebec, Canada, some inhabitants attack other people, hungry for human flesh. A few survivors gather and go deep into the forest to escape them.",2018,,103,"['horror', 'drama', 'scifi', 'thriller', 'action']",['CA'],,tt6243140,5.8,9588.0,18.267,5.843
tm422715,Stree,MOVIE,"Set in the town of Chanderi, Stree is based on the urban legend of Nale Ba that went viral in Karnataka in the 1990s, and features Shraddha Kapoor and Rajkummar Rao in pivotal roles.",2018,,138,"['horror', 'comedy']",['IN'],,tt8108202,7.5,35253.0,6.331,6.973
tm420348,Cam,MOVIE,A young camgirl discovers that she’s inexplicably been replaced on her site with an exact replica of herself.,2018,,95,"['thriller', 'horror', 'drama']",['US'],,tt8361028,5.9,33375.0,13.099,5.871
tm322243,Shimmer Lake,MOVIE,Shot in reverse day-by-day through a week—a local sheriff embarks on a quest to unlock the mystery of three small-town criminals and a bank heist gone wrong.,2017,,83,"['thriller', 'crime', 'drama', 'action', 'horror', 'romance', 'history']","['CA', 'US']",,tt1386691,6.3,14098.0,10.356,5.8
ts82127,Sirius the Jaeger,SHOW,"Imperial Capital, 1930. A strange group of people carrying musical instrument cases landed on Tokyo station. They are called the ""Jaegers"", who came to hunt vampires. Amongst them, there stood a young man with striking serenity and unusual aura. His name is Yuliy, a werewolf whose home village was destroyed by vampires. Yuliy and the Jaegers engage in deadly battle over a mysterious holy arc only known as ""The Arc of Sirius"". What truth awaits them at the end...?",2018,TV-MA,25,"['action', 'scifi', 'horror', 'animation', 'history']",['JP'],1.0,tt8565136,6.8,2081.0,11.916,7.5
ts79660,Creeped Out,SHOW,"A masked figure known as ""The Curious"" collects tales of dark magic, otherworldly encounters and twisted technology in this kids anthology series.",2017,TV-PG,26,"['scifi', 'thriller', 'history', 'action', 'drama', 'fantasy', 'horror', 'crime', 'family']","['GB', 'CA']",2.0,tt7573024,6.6,2082.0,26.699,7.131
ts79026,The Innocents,SHOW,"When a teenage couple runs away to be together, the extraordinary gift they possess unleashes powerful forces intent on dividing them forever.",2018,TV-MA,46,"['scifi', 'thriller', 'drama', 'horror', 'romance']",['GB'],2.0,tt8021824,6.2,5995.0,14.819,6.0
tm434202,Malevolent,MOVIE,"A brother-sister team who fake paranormal encounters for cash get more than they bargained for when a job at a haunted estate turns very, very real.",2018,,88,"['horror', 'thriller']",['GB'],,tt2386237,4.8,15109.0,10.484,4.999
tm424162,Secrets in the Hot Spring,MOVIE,"Xiaogin transferred to the third school during his fifth year at high school. During the winter vacation, his grandparents tricked him into returning to the hotel which was founded by his parents. Xiaogin’s classmates Little Princess and Lu Qun tagged along uninvited to escape being bullied at school.  While the three boys were temporarily staying at Xiaogin’s family hotel, they quickly found out that the hotel was in terrible shape and was also haunted. Xiaogin and his friends have developed an extremely close friendship while they are trying to step closer to the truth. Will they find out the secret that hides underneath the steaming hot springs?",2018,,109,"['horror', 'comedy']",['TW'],,tt8587122,6.0,852.0,6.173,6.7
tm357820,The Open House,MOVIE,A teenager and his mother find themselves besieged by threatening forces when they move into a new house.,2018,,94,"['thriller', 'horror']",['US'],,tt7608028,3.3,35256.0,11.486,3.69
ts82843,The Curious Creations of Christine McConnell,SHOW,"Wickedly talented baker and artist Christine McConnell fills her home with haunting confections, creepy crafts -- and wildly inappropriate creatures.",2018,TV-PG,27,"['comedy', 'reality', 'horror']",['US'],1.0,tt8773080,7.7,2501.0,3.721,7.3
ts76865,Devilman Crybaby,SHOW,"Akira Fudo learns from his best friend Ryo Asuka that demons will revive and reclaim the world from humans. With humans hopeless against this threat, Ryo suggests combining with a demon. With this, Akira becomes Devilman, a being with the power of demon but with a human heart.",2018,TV-MA,25,"['action', 'scifi', 'horror', 'animation', 'drama', 'fantasy']",['JP'],1.0,tt6660498,7.6,22909.0,35.001,7.877
ts83360,The Guest,SHOW,"The story of a psychic, a priest, and a detective who fight unusual crimes committed by strange powers.",2018,TV-MA,65,"['thriller', 'drama', 'crime', 'horror', 'comedy']",['KR'],1.0,tt8801670,8.1,1825.0,16.026,8.1
tm425138,Godzilla: The Planet Eater,MOVIE,"With no means for defeating Godzilla Earth, mankind watches as King Ghidorah, clad in a golden light, descends on the planet. The heavens and earth shake once again as the war moves to a higher dimension.",2018,PG,91,"['action', 'animation', 'scifi', 'horror']",['JP'],,tt8478602,5.1,4393.0,25.593,6.427
tm317566,Creep 2,MOVIE,"After finding an ad online for “video work,” Sara, a video artist whose primary focus is creating intimacy with lonely men, thinks she may have found the subject of her dreams. She drives to a remote house in the forest and meets a man claiming to be a serial killer. Unable to resist the chance to create a truly shocking piece of art, she agrees to spend the day with him. However, as the day goes on, she discovers she may have dug herself into a hole from which she can’t escape.",2017,R,80,"['horror', 'thriller', 'drama', 'crime']",['US'],,tt3654796,6.4,28306.0,12.181,6.3
ts57964,Hotel Transylvania: The Series,SHOW,"Mavis navigates life without her dad, Dracula, around and discovers one of the few common human and monster truths: being a teenager bites.",2017,TV-Y7,15,"['animation', 'comedy', 'family', 'fantasy', 'horror']",['US'],2.0,tt4858114,5.5,774.0,14.191,6.9
tm285171,Clinical,MOVIE,"A psychiatrist tries to put her life back together after a violent attack by seeking to repair the life of a new patient, but he has his own terrifying history.",2017,,104,"['thriller', 'horror']",['US'],,tt5577742,5.1,8506.0,8.238,5.3
ts76159,Super Monsters,SHOW,Preschool kids whose parents are the world's most famous monsters try to master their special powers while preparing for kindergarten.,2017,TV-Y,17,"['animation', 'comedy', 'family', 'horror']",['CA'],3.0,tt10370958,6.4,436.0,13.59,7.8
tm309903,The Little Vampire 3D,MOVIE,"Based on the characters from the bestselling novels by Angela Sommer-Bodenburg, tells the story of Rudolph, a thirteen year old vampire, whose clan is threatened by a notorious vampire hunter. He meets Tony, a mortal of the same age, who is fascinated by old castles, graveyards and - vampires. Tony helps Rudolph in an action and humor packed battle against their adversaries, together they save Rudolph's family and become friends.",2017,,83,"['comedy', 'family', 'fantasy', 'horror', 'animation', 'european']","['DE', 'DK', 'NL', 'GB']",,tt4729560,5.4,1822.0,13.589,6.1
tm345767,The Maus,MOVIE,"Alex and Selma are a couple in love on a trip to the heart of Bosnia and Herzegovina. Suddenly, Selma feels a mysterious force is chasing them.",2018,,90,"['drama', 'fantasy', 'horror', 'european']",['ES'],,tt5586362,4.5,4972.0,4.34,5.188
tm336084,Echcharikkai,MOVIE,"Two men kidnap the daughter of a rich man, and the latter approaches a retired cop to track the missing woman.",2018,,134,"['thriller', 'horror', 'crime', 'drama']",['IN'],,tt7853268,6.3,326.0,1.754,4.9
tm300440,The Mansion,MOVIE,"A band of students comes to celebrate the New Year in an old manor house isolated from everything. But soon after their arrival, strange events disrupt the atmosphere, before the party turns squarely to the nightmare ...",2017,PG-13,100,"['comedy', 'horror', 'european']",['FR'],,tt7029854,4.6,2823.0,10.123,4.833
tm376234,The Warning,MOVIE,"After his friend is shot, Jon finds a numerical pattern behind deaths that occurred at the same location and sets out to warn the next young victim.",2018,,92,"['drama', 'thriller', 'action', 'horror', 'crime', 'fantasy', 'european']",['ES'],,tt3711510,5.9,6566.0,6.536,6.0
tm356684,Animas,MOVIE,"Abraham and his female friend Álex have a close relationship; they share both secrets and fears. When Abraham starts going out with Anchi, he begins to distance himself from Álex, who gradually dives into a living hell where she encounters strange apparitions, nightmarish visions and extreme situations.",2018,,87,"['thriller', 'drama', 'horror', 'animation', 'european']","['BE', 'ES']",,tt9620806,,,7.52,5.0
ts77563,Mystery Science Theater 3000,SHOW,"The cult hit returns! Captured by mad scientists, new host Jonah survives a blitz of cheesy B movies by riffing on them with his funny robot pals.",2017,TV-14,86,"['scifi', 'comedy', 'drama', 'horror', 'thriller']",['US'],2.0,tt6782014,8.2,3848.0,4.534,7.913
ts81632,A House of Blocks,SHOW,"Yijuan and her mentally ill sister Kaiqi struggle to be happy in the face of misfortune, criminal intrigue, marital strife, an exorcism and a ghost.",2017,TV-MA,85,"['drama', 'horror']",['TW'],1.0,tt7053684,2.4,138.0,2.736,8.3
ts87466,Demon Slayer: Kimetsu no Yaiba,SHOW,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a “demon slayer” so that he can turn his sister back into a human, and kill the demon that massacred his family.",2019,TV-MA,25,"['action', 'animation', 'fantasy', 'thriller', 'horror']",['JP'],4.0,tt9335498,8.7,110478.0,158.24,8.694
ts57327,The Witcher,SHOW,"Geralt of Rivia, a mutated monster-hunter for hire, journeys toward his destiny in a turbulent world where people often prove more wicked than beasts.",2019,TV-MA,58,"['scifi', 'drama', 'action', 'fantasy', 'horror']",['US'],4.0,tt5180504,8.1,510035.0,123.605,8.2
ts88361,"Love, Death & Robots",SHOW,"Terrifying creatures, wicked surprises and dark comedy converge in this NSFW anthology of animated stories presented by Tim Miller and David Fincher.",2019,TV-MA,13,"['scifi', 'animation', 'thriller', 'comedy', 'horror', 'fantasy', 'drama', 'action']",['US'],3.0,tt9561862,8.4,131937.0,69.637,8.281
ts87248,In the Dark,SHOW,"Murphy is a flawed and irreverent woman who just happens to be blind and is the only “witness” to the murder of her drug-dealing friend, Tyson. When the police dismiss her story, she sets out with her dog, Pretzel, to find the killer while also managing her colorful dating life and the job she hates at Breaking Blind — the guide-dog school owned by her overprotective parents.",2019,TV-14,41,"['comedy', 'drama', 'crime', 'horror', 'action']",['US'],4.0,tt7772602,7.5,14071.0,29.797,7.966
